"N#CCc1ccccc1",1.56,117.15,"C8H7N"
"c1ccc2nc3ccccc3cc2c1",3.4,179.2208,"C13H9N"
"Cc1ccccn1",1.11,93.128,"C6H7N"
"Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1",3.57,229.1246,"C8H5F6N"
"Cc1ccnc2ccccc12",2.61,143.1878,"C10H9N"
"O=[N+]([O-])Cc1ccccc1",1.75,137.1378,"C7H7NO2"
"c1ccc2c(c1)[nH]c1ccccc12",3.72,167.2098,"C12H9N"
"Nc1ccc(-c2ccc(N)cc2)cc1",1.34,184.2402,"C12H12N2"
"CNc1ccccc1",1.66,107.1548,"C7H9N"
"COC(=O)c1ccc(C(=O)OC)cc1",2.25,194.1866,"C10H10O4"
"O=Cc1cccc(O)c1",1.38,122.1232,"C7H6O2"
"CCNC(=S)NCC",0.57,132.2232,"C5H12N2S"
"c1ccc(NNc2ccccc2)cc1",2.94,184.2402,"C12H12N2"
"Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl",3.51,253.1304,"C12H10Cl2N2"
"O=[N+]([O-])c1ccc(Br)cc1",2.55,202.0071,"C6H4BrNO2"
"CCCCOCCOCCSC#N",1.68,203.2988,"C9H17NO2S"
